label,source,subclass,generator,split,image_id,variant,face_present,face_px
0,sid_calib,real,unknown,calib,addc5d90e29aa558,clean,1,70.39998626708984
0,sid_calib,real,unknown,calib,addc5d90e29aa558,jpeg90,1,69.99276733398438
0,sid_calib,real,unknown,calib,addc5d90e29aa558,jpeg70,1,69.69854736328125
0,sid_calib,real,unknown,calib,addc5d90e29aa558,jpeg50,1,69.23505401611328
0,sid_calib,real,unknown,calib,addc5d90e29aa558,jpeg30,1,69.37319946289062
0,sid_calib,real,unknown,calib,addc5d90e29aa558,blur05,1,70.32823181152344
0,sid_calib,real,unknown,calib,addc5d90e29aa558,blur10,1,69.72303009033203
0,sid_calib,real,unknown,calib,addc5d90e29aa558,blur20,1,68.38700103759766
0,sid_calib,real,unknown,calib,addc5d90e29aa558,resize05,1,70.12261962890625
0,sid_calib,real,unknown,calib,addc5d90e29aa558,resize025,1,68.81767272949219
0,sid_calib,real,unknown,calib,addc5d90e29aa558,noise002,1,70.07814025878906
0,sid_calib,real,unknown,calib,addc5d90e29aa558,noise005,1,69.79717254638672
0,sid_calib,real,unknown,calib,addc5d90e29aa558,noise01,1,69.07286834716797
0,sid_calib,real,unknown,calib,addc5d90e29aa558,jitter02,1,70.11681365966797
0,sid_calib,real,unknown,calib,addc5d90e29aa558,crop08,1,84.13558197021484
0,sid_calib,real,unknown,calib,1888d4ec20331d20,clean,1,91.795654296875
0,sid_calib,real,unknown,calib,1888d4ec20331d20,jpeg90,1,91.88082122802734
0,sid_calib,real,unknown,calib,1888d4ec20331d20,jpeg70,1,91.56275939941406
0,sid_calib,real,unknown,calib,1888d4ec20331d20,jpeg50,1,92.191162109375
0,sid_calib,real,unknown,calib,1888d4ec20331d20,jpeg30,1,91.8630142211914
0,sid_calib,real,unknown,calib,1888d4ec20331d20,blur05,1,91.89266967773438
0,sid_calib,real,unknown,calib,1888d4ec20331d20,blur10,1,91.95844268798828
0,sid_calib,real,unknown,calib,1888d4ec20331d20,blur20,1,93.04552459716797
0,sid_calib,real,unknown,calib,1888d4ec20331d20,resize05,1,91.75433349609375
0,sid_calib,real,unknown,calib,1888d4ec20331d20,resize025,1,92.75851440429688
0,sid_calib,real,unknown,calib,1888d4ec20331d20,noise002,1,92.15494537353516
0,sid_calib,real,unknown,calib,1888d4ec20331d20,noise005,1,92.56620025634766
0,sid_calib,real,unknown,calib,1888d4ec20331d20,noise01,1,91.0908432006836
0,sid_calib,real,unknown,calib,1888d4ec20331d20,jitter02,1,91.82588195800781
0,sid_calib,real,unknown,calib,1888d4ec20331d20,crop08,1,119.2833480834961
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,clean,1,77.35993194580078
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,jpeg90,1,77.44526672363281
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,jpeg70,1,77.22064971923828
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,jpeg50,1,76.7876205444336
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,jpeg30,1,77.25740051269531
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,blur05,1,77.32195281982422
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,blur10,1,77.3401107788086
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,blur20,1,76.99200439453125
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,resize05,1,77.41724395751953
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,resize025,1,77.01573181152344
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,noise002,1,77.5210952758789
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,noise005,1,77.79993438720703
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,noise01,1,77.65217590332031
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,jitter02,1,77.2566146850586
0,sid_calib,real,unknown,calib,c151db03afb0a7b5,crop08,1,97.63997650146484
0,sid_calib,real,unknown,calib,b58536a319d8fd64,clean,1,81.47738647460938
0,sid_calib,real,unknown,calib,b58536a319d8fd64,jpeg90,1,81.28175354003906
0,sid_calib,real,unknown,calib,b58536a319d8fd64,jpeg70,1,81.33914184570312
0,sid_calib,real,unknown,calib,b58536a319d8fd64,jpeg50,1,80.61378479003906
0,sid_calib,real,unknown,calib,b58536a319d8fd64,jpeg30,1,81.3083267211914
0,sid_calib,real,unknown,calib,b58536a319d8fd64,blur05,1,81.63922882080078
0,sid_calib,real,unknown,calib,b58536a319d8fd64,blur10,1,81.92495727539062
0,sid_calib,real,unknown,calib,b58536a319d8fd64,blur20,1,81.66767883300781
0,sid_calib,real,unknown,calib,b58536a319d8fd64,resize05,1,81.8415756225586
0,sid_calib,real,unknown,calib,b58536a319d8fd64,resize025,1,81.72502136230469
0,sid_calib,real,unknown,calib,b58536a319d8fd64,noise002,1,80.95952606201172
0,sid_calib,real,unknown,calib,b58536a319d8fd64,noise005,1,82.27804565429688
0,sid_calib,real,unknown,calib,b58536a319d8fd64,noise01,1,81.67533111572266
0,sid_calib,real,unknown,calib,b58536a319d8fd64,jitter02,1,81.46778869628906
0,sid_calib,real,unknown,calib,b58536a319d8fd64,crop08,1,106.75431823730469
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,clean,1,142.511962890625
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,jpeg90,1,142.5639190673828
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,jpeg70,1,143.97093200683594
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,jpeg50,1,144.07981872558594
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,jpeg30,1,143.01524353027344
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,blur05,1,142.34353637695312
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,blur10,1,142.23602294921875
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,blur20,1,139.7683868408203
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,resize05,1,142.2233123779297
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,resize025,1,140.4660186767578
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,noise002,1,142.5640869140625
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,noise005,1,142.0814666748047
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,noise01,1,142.80384826660156
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,jitter02,1,143.80194091796875
1,sid_calib,full_synthetic,unknown,calib,3692a7a6198d7237,crop08,1,174.47909545898438
0,sid_calib,real,unknown,calib,53c402256a68833a,clean,1,74.35588836669922
0,sid_calib,real,unknown,calib,53c402256a68833a,jpeg90,1,74.62162780761719
0,sid_calib,real,unknown,calib,53c402256a68833a,jpeg70,1,74.3642578125
0,sid_calib,real,unknown,calib,53c402256a68833a,jpeg50,1,74.18312072753906
0,sid_calib,real,unknown,calib,53c402256a68833a,jpeg30,1,73.93130493164062
0,sid_calib,real,unknown,calib,53c402256a68833a,blur05,1,74.50254821777344
0,sid_calib,real,unknown,calib,53c402256a68833a,blur10,1,75.16670989990234
0,sid_calib,real,unknown,calib,53c402256a68833a,resize05,1,74.57866668701172
0,sid_calib,real,unknown,calib,53c402256a68833a,resize025,1,76.18364715576172
0,sid_calib,real,unknown,calib,53c402256a68833a,noise002,1,74.02320098876953
0,sid_calib,real,unknown,calib,53c402256a68833a,noise005,1,73.06023406982422
0,sid_calib,real,unknown,calib,53c402256a68833a,jitter02,1,74.36319732666016
0,sid_calib,real,unknown,calib,53c402256a68833a,crop08,1,91.95166778564453
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,clean,1,93.74071502685547
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,jpeg90,1,93.54395294189453
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,jpeg70,1,93.19873046875
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,jpeg50,1,93.27347564697266
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,jpeg30,1,91.3788833618164
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,blur05,1,93.26118469238281
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,blur10,1,92.83482360839844
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,blur20,1,91.73737335205078
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,resize05,1,92.8524169921875
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,resize025,1,92.84791564941406
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,noise002,1,93.38106536865234
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,noise005,1,94.02088165283203
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,noise01,1,91.19000244140625
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,jitter02,1,93.99729919433594
0,sid_calib,real,unknown,calib,90d4e4f36e267d3b,crop08,1,113.36166381835938
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,clean,1,155.1566162109375
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,jpeg90,1,154.60592651367188
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,jpeg70,1,154.23870849609375
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,jpeg50,1,154.977783203125
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,jpeg30,1,153.87835693359375
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,blur05,1,154.6142578125
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,blur10,1,153.91595458984375
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,blur20,1,153.30007934570312
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,resize05,1,153.2410888671875
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,resize025,1,153.58750915527344
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,noise002,1,154.50787353515625
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,noise005,1,155.5341339111328
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,noise01,1,105.86921691894531
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,jitter02,1,154.00196838378906
0,sid_calib,real,unknown,calib,c0ba5c35f3aff384,crop08,1,193.56785583496094
0,sid_calib,real,unknown,calib,84ee543aab95560b,clean,1,68.61638641357422
0,sid_calib,real,unknown,calib,84ee543aab95560b,jpeg90,1,69.95714569091797
