label,source,subclass,generator,split,image_id,variant,face_present,face_px
0,sid_train,real,unknown,train,4dacb1c93d8fbdb7,jpeg70,1,81.01204681396484
1,sid_train,full_synthetic,unknown,train,418a6c10d24e3aa2,clean,1,85.93561553955078
1,sid_train,full_synthetic,unknown,train,418a6c10d24e3aa2,jpeg30,1,86.1333236694336
1,sid_train,full_synthetic,unknown,train,418a6c10d24e3aa2,blur05,1,86.04220581054688
1,sid_train,full_synthetic,unknown,train,418a6c10d24e3aa2,noise01,1,86.95288848876953
1,sid_train,full_synthetic,unknown,train,dc16916794452516,clean,1,209.47076416015625
1,sid_train,full_synthetic,unknown,train,dc16916794452516,resize05,1,210.0001220703125
1,sid_train,full_synthetic,unknown,train,dc16916794452516,noise005,1,217.7582244873047
1,sid_train,full_synthetic,unknown,train,dc16916794452516,noise01,1,227.06072998046875
1,sid_train,full_synthetic,unknown,train,e2176269bef42fc1,blur10,1,65.98405456542969
0,sid_train,real,unknown,train,ba7517a6dca36f81,clean,1,83.89398956298828
0,sid_train,real,unknown,train,ba7517a6dca36f81,resize025,1,86.15612030029297
0,sid_train,real,unknown,train,ba7517a6dca36f81,noise005,1,82.54510498046875
0,sid_train,real,unknown,train,ba7517a6dca36f81,jitter02,1,100.93123626708984
1,sid_train,full_synthetic,unknown,train,3a376ccaaf594e03,clean,1,111.16949462890625
1,sid_train,full_synthetic,unknown,train,3a376ccaaf594e03,blur10,1,111.93692779541016
1,sid_train,full_synthetic,unknown,train,3a376ccaaf594e03,resize025,1,111.6873779296875
1,sid_train,full_synthetic,unknown,train,3a376ccaaf594e03,crop08,1,137.5590057373047
1,sid_train,full_synthetic,unknown,train,a11bc8cd686b48e3,clean,1,130.37721252441406
1,sid_train,full_synthetic,unknown,train,a11bc8cd686b48e3,jpeg50,1,130.08155822753906
1,sid_train,full_synthetic,unknown,train,a11bc8cd686b48e3,resize05,1,130.731689453125
1,sid_train,full_synthetic,unknown,train,a11bc8cd686b48e3,jitter02,1,132.2417449951172
0,sid_train,real,unknown,train,be7020357251d63a,crop08,1,75.65498352050781
1,sid_train,full_synthetic,unknown,train,674e147e57a96b6c,clean,1,261.4470520019531
1,sid_train,full_synthetic,unknown,train,674e147e57a96b6c,jpeg30,1,263.4487609863281
1,sid_train,full_synthetic,unknown,train,674e147e57a96b6c,blur10,1,260.0848083496094
1,sid_train,full_synthetic,unknown,train,674e147e57a96b6c,noise002,1,260.8584289550781
1,sid_train,full_synthetic,unknown,train,86d15e7149392ce5,clean,1,65.95580291748047
1,sid_train,full_synthetic,unknown,train,86d15e7149392ce5,jpeg30,1,66.78190612792969
1,sid_train,full_synthetic,unknown,train,86d15e7149392ce5,resize05,1,66.17967987060547
1,sid_train,full_synthetic,unknown,train,86d15e7149392ce5,crop08,1,81.06561279296875
1,sid_train,full_synthetic,unknown,train,efd3113be9d35c32,clean,1,232.2298583984375
1,sid_train,full_synthetic,unknown,train,efd3113be9d35c32,blur05,1,231.82525634765625
1,sid_train,full_synthetic,unknown,train,efd3113be9d35c32,blur20,1,232.01068115234375
1,sid_train,full_synthetic,unknown,train,efd3113be9d35c32,jitter02,1,238.70465087890625
0,sid_train,real,unknown,train,c1ebdfbe5d2c31b5,clean,1,428.1488342285156
0,sid_train,real,unknown,train,c1ebdfbe5d2c31b5,resize05,1,428.667236328125
0,sid_train,real,unknown,train,c1ebdfbe5d2c31b5,noise002,1,426.3924560546875
0,sid_train,real,unknown,train,c1ebdfbe5d2c31b5,jitter02,1,425.7368469238281
0,sid_train,real,unknown,train,6fcab804d5993c08,clean,1,66.89969635009766
0,sid_train,real,unknown,train,6fcab804d5993c08,jpeg70,1,66.85844421386719
0,sid_train,real,unknown,train,6fcab804d5993c08,noise005,1,66.66657257080078
0,sid_train,real,unknown,train,5606367583822eb5,clean,1,70.55620574951172
0,sid_train,real,unknown,train,5606367583822eb5,jpeg50,1,70.20511627197266
0,sid_train,real,unknown,train,5606367583822eb5,jpeg30,1,70.67825317382812
0,sid_train,real,unknown,train,5606367583822eb5,blur20,1,69.42630767822266
1,sid_train,full_synthetic,unknown,train,b1491554a0a8e0f4,clean,1,90.39168548583984
1,sid_train,full_synthetic,unknown,train,b1491554a0a8e0f4,jpeg70,1,90.13348388671875
1,sid_train,full_synthetic,unknown,train,b1491554a0a8e0f4,blur05,1,90.3896484375
1,sid_train,full_synthetic,unknown,train,b1491554a0a8e0f4,noise005,1,90.96308135986328
0,sid_train,real,unknown,train,5e4ad4f4be62a816,clean,1,66.48431396484375
0,sid_train,real,unknown,train,5e4ad4f4be62a816,blur10,1,66.11687469482422
0,sid_train,real,unknown,train,5e4ad4f4be62a816,blur20,1,65.3554458618164
0,sid_train,real,unknown,train,5e4ad4f4be62a816,noise005,1,66.23210144042969
0,sid_train,real,unknown,train,2d7acca43a364143,clean,1,260.65325927734375
0,sid_train,real,unknown,train,2d7acca43a364143,blur05,1,260.0965270996094
0,sid_train,real,unknown,train,2d7acca43a364143,resize05,1,259.3463439941406
0,sid_train,real,unknown,train,2d7acca43a364143,noise01,1,277.06689453125
1,sid_train,full_synthetic,unknown,train,79f688a4c9f8293d,clean,1,106.33562469482422
1,sid_train,full_synthetic,unknown,train,79f688a4c9f8293d,noise005,1,104.3890380859375
1,sid_train,full_synthetic,unknown,train,79f688a4c9f8293d,noise01,1,101.95878601074219
1,sid_train,full_synthetic,unknown,train,79f688a4c9f8293d,jitter02,1,106.8056640625
1,sid_train,full_synthetic,unknown,train,b9cac8950588f03c,clean,1,277.960693359375
1,sid_train,full_synthetic,unknown,train,b9cac8950588f03c,jpeg30,1,279.9687805175781
1,sid_train,full_synthetic,unknown,train,b9cac8950588f03c,blur05,1,277.91094970703125
1,sid_train,full_synthetic,unknown,train,b9cac8950588f03c,blur20,1,278.9400329589844
